Subject age	Gender	Race	State	Method of death	Disposition	Date of Death	Year	Col 9
39.	Male	African-American/Black	MI	Gunshot	Justified	August 29, 2000	2000	
39.	Male	Unknown race	IL	Gunshot	Justified	May 3, 2000	2000	
36.	Male	African-American/Black	NV	Gunshot	Justified	September 6, 2000	2000	
37.	Male	Unknown race	NY	Pepper spray	Unreported	August 3, 2000	2000	
54.	Male	African-American/Black	NV	Gunshot	Justified	August 30, 2000	2000	
37.	Male	Unknown race	ME	Gunshot	Unknown	May 6, 2000	2000	
20.	Male	African-American/Black	MS	Gunshot	Justified	April 8, 2000	2000	
29.	Male	Hispanic/Latino	OR	Gunshot	Justified	April 1, 2001	2001	
42.	Male	Unknown race	WY	Gunshot	Justified	October 22, 2001	2001	
24.	Female	Unknown race	NY	Vehicle	Officer charged with manslaughter, convicted	August 4, 2001	2001	
4.	Male	Unknown race	NY	Vehicle	Officer charged with manslaughter, convicted	August 4, 2001	2001	
37.	Male	European-American/White	NV	Gunshot	Justified	October 23, 2001	2001	
16.	Female	Unknown race	NY	Vehicle	Officer charged with manslaughter, convicted	August 4, 2001	2001	
34.	Male	African-American/Black	WA	Gunshot	Justified	August 6, 2001	2001	
30.	Male	European-American/White	NV	Gunshot	Justified	November 17, 2001	2001	
21.	Male	African-American/Black	IL	Gunshot	Unreported	November 19, 2001	2001	
24.	Male	Hispanic/Latino	WA	Gunshot	Justified	August 8, 2001	2001	
67.	Male	Unknown race	NY	Vehicle	Unreported	November 23, 2001	2001	
25	Male	Asian	CA	Gunshot	Justified	June 10, 2001	2001	
27.	Female	Asian	WA	Gunshot	Justified	August 9, 2001	2001	
31.	Male	Unknown race	FL	Gunshot	Justified	February 18, 2001	2001	
37.	Female	African-American/Black	MO	Gunshot	Justified	February 2, 2001	2001	
38.	Male	African-American/Black	NV	Gunshot	Justified	August 12, 2001	2001	
36.	Male	African-American/Black	MO	Gunshot	Justified	June 12, 2001	2001	
36.	Male	European-American/White	WI	Gunshot	Justified	June 12, 2001	2001	
23.	Male	African-American/Black	CA	Gunshot	Unreported	June 13, 2001	2001	
31.	Male	Unknown race	OR	Gunshot	Unreported	December 1, 2001	2001	
21	Male	African-American/Black	AL	Gunshot	Unknown	December 12, 2001	2001	
21.	Male	European-American/White	CT	Gunshot	Justified	November 7, 2001	2001	
6.	Female	Unknown race	TX	Domestic Abuse	30 years in prison for first-degree felony charge of injury to a child	October 11, 2001	2001	
43.	Female	Asian	CA	Vehicle	Excusable	June 19, 2001	2001	
31.	Male	European-American/White	CT	Gunshot	Justified	June 19, 2001	2001	
21.	Male	European-American/White	NV	Gunshot	Justified	June 2, 2001	2001	
36.	Male	African-American/Black	CA	Beaten	Justified	April 14, 2001	2001	
58.	Male	Unknown race	OR	Gunshot	Unreported	October 31, 2001	2001	
55.	Male	Asian	NV	Gunshot	Justified	June 23, 2001	2001	
29.	Male	Unknown race	MD	Gunshot	Unreported	October 4, 2001	2001	
37.	Male	European-American/White	VT	Gunshot	Justified	December 2, 2001	2001	
30	Male	European-American/White	NV	Gunshot	Unknown	December 20, 2001	2001	
21.	Male	European-American/White	WA	Asphyxiated	Accidental	April 16, 2001	2001	
21	Male	European-American/White	NV	Gunshot	Unknown	December 24, 2001	2001	
23	Male	Unknown race	FL	Gunshot	Unknown	June 25, 2011	2001	
43.	Male	European-American/White	RI	Gunshot	Excusable	December 27, 2001	2001	
39.	Male	European-American/White	CT	Gunshot	Justified	June 3, 2001	2001	
36.	Male	Unknown race	NY	Gunshot	Unreported	October 6, 2001	2001	
49.	Male	Unknown race	PA	Medical emergency	Justified	December 27, 2001	2001	
17.	Male	European-American/White	WA	Gunshot	Unreported	December 31, 2001	2001	
28.	Male	Unknown race	NY	Gunshot	Unreported	October 8, 2001	2001	
33.	Male	Asian	NY	Gunshot	Unreported	June 30, 2001	2001	
45.	Female	European-American/White	NY	Asphyxiated	Acquitted	October 8, 2001	2001	
16	Male	Hispanic/Latino	NV	Gunshot	Unknown	June 4, 2001	2001	
33.	Male	European-American/White	NV	Gunshot	Suicide	December 6, 2001	2001	
19.	Male	Unknown race	NY	Gunshot	Unreported	October 9, 2001	2001	
47	Male	African-American/Black	OH	Gunshot	Justified	August 22, 2001	2001	
23.	Male	European-American/White	OR	Gunshot	justified	December 9, 2001	2001	
22.	Male	African-American/Black	VA	Gunshot	Unreported	June 8, 2001	2001	
45.	Male	Unknown race	NY	Gunshot	Justified	June 8, 2001	2001	
24.	Male	Unknown race	TX	Gunshot	Unreported	February 23, 2001	2001	
21.	Female	African-American/Black	FL	Gunshot	Unknown	February 26, 2001	2001	
36.	Male	European-American/White	FL	Gunshot	Unknown	February 26, 2001	2001	
31.	Male	European-American/White	WA	Vehicle	Excused	February 27, 2001	2001	
16.	Male	African-American/Black	NV	Gunshot	Justified	February 27, 2001	2001	
20.	Female	European-American/White	NV	Gunshot	Justified	February 4, 2001	2001	
21.	Male	African-American/Black	IL	Gunshot	Justified	September 14, 2001	2001	
26.	Female	Unknown race	WA	Vehicle	Escusable	January 1, 2001	2001	
60.	Male	European-American/White	ME	Gunshot	Unknown	March 16, 2001	2001	
6.	Female	Unknown race	WA	Vehicle	Escusable	January 1, 2001	2001	
29.	Male	African-American/Black	CA	Gunshot	Unknown	January 11, 2001	2001	
39.	Male	Unknown race	WA	Gunshot	Unreported	January 13, 2001	2001	
27.	Male	Hispanic/Latino	NV	Gunshot	Justified	January 17, 2001	2001	
34	Male	Unknown race	NM	Gunshot	Unknown	January 25, 2001	2001	
22.	Male	Unknown race	OR	Vehicle	Unreported	January 27, 2001	2001	
56.	Female	Unknown race	OR	Vehicle	Unreported	January 27, 2001	2001	
31	Male	African-American/Black	GA	Gunshot	Unknown	September 21, 2001	2001	
37.	Male	Hispanic/Latino	NV	Gunshot	Justified	January 28, 2001	2001	
21.	Male	African-American/Black	NY	Gunshot	Unreported	January 4, 2001	2001	
24.	Male	European-American/White	OR	Gunshot	Unreported	January 7, 2001	2001	
18.	Male	Unknown race	KY	Gunshot	Unreported	January 9, 2001	2001	
29.	Male	Asian	OR	Gunshot	Justified	July 1, 2001	2001	
43.	Male	Unknown race	VT	Gunshot	Justified	September 24, 2001	2001	
19.	Male	Unknown race	MA	Gunshot	Unreported	July 14, 2001	2001	
22.	Male	Unknown race	TX	Gunshot	Unreported	September 24, 2001	2001	
45.	Male	Unknown race	CA	Beaten to death	Unknown	September 25, 2001	2001	
23.	Male	Hispanic/Latino	RI	Gunshot	Justified	July 26, 2001	2001	
27.	Female	Unknown race	NY	Gunshot	Unknown	July 26, 2001	2001	
56.	Male	European-American/White	NV	Gunshot	Justified	May 10, 2001	2001	
49.	Male	European-American/White	NV	Gunshot	Justified	April 28, 2001	2001	
48.	Male	Unknown race	FL	Medical emergency	Unreported	May 14, 2001	2001	
36.	Male	Unknown race	NC	Gunshot	Justified	September 28, 2001	2001	
40.	Male	Unknown race	PA	Gunshot	Justified	September 29, 2001	2001	
34.	Male	Unknown race	WA	choked to death on his own vomit	Unreported	May 2, 2001	2001	
47.	Male	European-American/White	MI	Gunshot	Justified	September 3, 2001	2001	
29.	Male	Unknown race	NJ	Gunshot	Unreported	April 30, 2001	2001	
33.	Female	Unknown race	IL	Gunshot	Unreported	May 22, 2001	2001	
28.	Male	European-American/White	MI	Gunshot	Justified	September 4, 2001	2001	
26.	Male	Hispanic/Latino	NY	Vehicle	Criminal - Sgt. Miley sentenced to 4 year maximum sentence	May 27, 2001	2001	
25.	Male	Hispanic/Latino	NY	Vehicle	Criminal - Sgt. Miley sentenced to 4 year maximum sentence	May 27, 2001	2001	
42.	Male	Unknown race	CA	Gunshot	Unreported	May 28, 2001	2001	
31.	Male	Hispanic/Latino	MA	Gunshot	Unreported	May 29, 2001	2001	
34.	Male	European-American/White	NV	Gunshot	Justified	April 6, 2001	2001	
19.	Male	African-American/Black	OH	Gunshot	Justified	April 7, 2001	2001	
38.	Male	African-American/Black	NY	Gunshot	Justified	July 5, 2002	2002	
19.	Male	African-American/Black	TX	Gunshot	Justified	June 9, 2002	2002	
42.	Male	Unknown race	NY	Gunshot	Unreported	July 6, 2002	2002	
29.	Male	Unknown race	NV	Gunshot	Justified	October 24, 2002	2002	
4.	Female	Hispanic/Latino	CA	Vehicle	Driver of stolen car charged with 1st degre homicide	June 1, 2002	2002	
24.	Male	Hispanic/Latino	NY	Gunshot	Unreported	April 21, 2002	2002	
29.	Male	Unknown race	OR	Gunshot	justified	April 21, 2002	2002	
14.	Male	African-American/Black	NY	Gunshot	Unreported	June 10, 2002	2002	
27.	Male	Unknown race	NY	Gunshot	Unreported	September 16, 2002	2002	
20.	Male	Hispanic/Latino	TX	Gunshot	Justified	June 12, 2002	2002	
24.	Male	Hispanic/Latino	TX	Gunshot	Justified	June 12, 2002	2002	
29.	Male	European-American/White	TX	Gunshot	Excusable	June 12, 2002	2002	
26.	Male	African-American/Black	WA	Gunshot	Justified	June 16, 2002	2002	
31.	Male	African-American/Black	KY	Gunshot	Justified	October 30, 2002	2002	
36.	Male	Unknown race	NY	Asphyxiated	Unreported	October 30, 2002	2002	
31.	Male	African-American/Black	WI	Gunshot	Justified	September 19, 2002	2002	
21.	Male	European-American/White	NY	Vehicle	Criminal	June 22, 2002	2002	
77.	Male	Unknown race	IL	Gunshot	Unknown	March 18, 2002	2002	
27.	Male	European-American/White	NV	Gunshot	Justified	September 19, 2002	2002	
25.	Male	Hispanic/Latino	TX	Gunshot	Unreported	April 15, 2002	2002	
40.	Male	European-American/White	NV	Gunshot	Justified	June 24, 2002	2002	
43.	Male	Unknown race	IA	Gunshot	Justified	March 20, 2002	2002	
35.	Male	Hispanic/Latino	NJ	asphyxiation	Criminal	April 16, 2002	2002	
64.	Male	Unknown race	NH	Gunshot	Justified	September 2, 2002	2002	
43.	Male	Unknown race	WA	Gunshot	Unreported	June 26, 2002	2002	
44.	Male	Unknown race	NY	Gunshot	Unreported	March 25, 2002	2002	
20	Male	European-American/White	OH	Gunshot	Unknown	June 28, 2002	2002	
39.	Male	European-American/White	NV	Gunshot	Justified	August 21, 2002	2002	
20.	Male	African-American/Black	IN	Gunshot	Justified	March 27, 2002	2002	
19.	Male	European-American/White	CA	Gunshot	Justified	March 27, 2002	2002	
25	Male	European-American/White	NV	Gunshot	Unknown	April 24, 2002	2002	
22.	Male	African-American/Black	NY	Gunshot	Unreported	September 1, 2002	2002	
34.	Male	European-American/White	WA	Gunshot	Unreported	June 30, 2002	2002	
39.	Male	Unknown race	MA	Gunshot	Unreported	March 29, 2002	2002	
20.	Male	Unknown race	NY	Gunshot	Unreported	April 19, 2002	2002	
18.	Male	African-American/Black	CT	Vehicle	Unknown	September 23, 2002	2002	
47.	Male	Unknown race	NY	Gunshot	Unreported	March 30, 2002	2002	
28.	Male	Unknown race	NY	Gunshot	Justified	August 26, 2002	2002	
18.	Male	African-American/Black	CA	Gunshot	Justified	June 5, 2002	2002	
38.	,Male	Unknown race	GA	Gunshot	Unknown	August 22, 2002	2002	
39	Male	African-American/Black	OH	Gunshot	Justified	June 6, 2002	2002	
25.	Female	Hispanic/Latina	MA	Gunshot	Unreported	September 25, 2002	2002	
42.	Male	Unknown race	MA	Gunshot	Unreported	May 1, 2002	2002	
22.	Male	Hispanic/Latino	NV	Gunshot	Justified	May 1, 2002	2002	
31.	Male	Unknown race	NY	Gunshot	Unreported	May 1, 2002	2002	
23.	Male	European-American/White	OH	Gunshot	Justified	September 27, 2002	2002	
16	Male	African-American/Black	OH	Gunshot	Justified	August 27, 2002	2002	
39.	Male	African-American/Black	NY	Gunshot	Unreported	August 27, 2002	2002	
28.	Male	Unknown race	NY	Gunshot	Unreported	May 17, 2002	2002	
27.	Male	European-American/White	CA	Gunshot	Excusable	May 21, 2002	2002	
46.	Male	Asian	MN	Gunshot	Unknown	September 29, 2002	2002	
39.	Male	Unknown race	MA	Gunshot	Justified	May 23, 2002	2002	
23.	Male	Asian	CA	Gunshot	Unreported	May 25, 2002	2002	
20.	Male	African-American/Black	WI	Gunshot	Justified	May 29, 2002	2002	
75.	Male	Unknown race	WA	Vehicle	Preventable	May 31, 2002	2002	
21.	Male	African-American/Black	CA	Unknown	Unknown	May 4, 2002	2002	
49.	Male	Unknown race	IL	Gunshot	Justified	May 6, 2002	2002	
43.	Male	Unknown race	GA	Gunshot	Unknown	April 8, 2002	2002	
41.	Male	Hispanic/Latino	NV	Gunshot	Justified	April 8, 2002	2002	
57.	Female	African-American/Black	CA	Gunshot	Justified	January 19, 2002	2002	
31.	Male	African-American/Black	WA	Gunshot	Justified	February 18, 2002	2002	
37.	Male	African-American/Black	CA	Gunshot	Unreported	February 2, 2002	2002	
26.	Male	African-American/Black	OR	Gunshot	justified	February 22, 2002	2002	
42.	Male	European-American/White	WY	Asphyxiated	Wyoming settled a federal lawsuit for $500,000	December 20, 2002	2002	
55.	Male	Unknown race	NY	Gunshot	Unreported	August 31, 2002	2002	
28.	Male	Unknown race	WI	Gunshot	Justified	December 22, 2002	2002	
32.	Male	Unknown race	WA	Gunshot	Unknown	August 31, 2002	2002	
19	Male	Native American/Alaskan	WA	pulmonary arrest	Justified	November 11, 2002	2002	
30.	Male	African-American/Black	NY	Beaten	Unreported	August 31, 2002	2002	
20.	Male	African-American/Black	FL	Gunshot	Justified	January 21, 2002	2002	
12.	Male	African-American/Black	PA	Gunshot	Justified	December 24, 2002	2002	
19.	Male	European-American/White	ID	Gunshot	Justified	November 14, 2002	2002	
20	Male	Unknown race	ID	Gunshot	Justified	November 14, 2002	2002	
55.	Male	Asian	CA	Gunshot		February 24, 2002	2002	
29.	Male	African-American/Black	NV	Gunshot	Justified	August 4, 2002	2002	
61.	Male	Unknown race	ME	Gunshot	Justified	February 25, 2002	2002	
45.	Male	Unknown race	IA	Gunshot	Justified	February 26, 2002	2002	
53	Male	Unknown race	NM	Gunshot	Unknown	August 7, 2002	2002	
44.	Male	Hispanic/Latino	NV	Gunshot	Justified	December 26, 2002	2002	
38.	Male	Unknown race	IL	Gunshot	Justified	December 3, 2002	2002	
47.	Male	Unknown race	IA	Gunshot	Justified	February 26, 2002	2002	
34.	Male	European-American/White	NV	Gunshot	Justified	December 31, 2002	2002	
50.	Male	African-American/Black	KY	Gunshots	Justified	December 5, 2002	2002	
23	Male	African-American/Black	OH	Gunshot	Justified	August 8, 2002	2002	
43	Male	European-American/White	NV	Gunshot	Unknown	November 22, 2002	2002	
38.	Male	Hispanic/Latino	NY	Gunshot	Unreported	January 23, 2002	2002	
49.	Male	Unknown race	NY	Gunshot	Unreported	February 11, 2002	2002	
37.	Male	Unknown race	MA	Gunshot	Unreported	February 12, 2002	2002	
41.	Male	Unknown race	VA	Gunshot	Criminal	February 12, 2002	2002	
21.	Male	Unknown race	ME	Gunshot	Justified	February 12, 2002	2002	
31	Male	Unknown race	NM	Gunshot	Unknown	February 14, 2002	2002	
21.	Male	European-American/White	WA	Gunshot	Justified	November 26, 2002	2002	
46	Male	European-American/White	NV	Drug overdose	Excusable	February 16, 2002	2002	
40.	Male	African-American/Black	CA	Asphyxia	Unreported	November 28, 2002	2002	
21.	Male	Unknown race	FL	Gunshot	Justified	February 17, 2002	2002	
27	Male	African-American/Black	OH	Gunshot	Justified	January 26, 2002	2002	
47.	Male	Unknown race	WA	Gunshot	Justified	January 28, 2002	2002	
42.	Female	Unknown race	CO	Vehicle	Excusable	January 8, 2002	2002	
43.	Male	Hispanic/Latino	FL	Gunshot	Justified	November 5, 2002	2002	
33.	Male	Unknown race	WA	Gunshot	Unreported	November 5, 2002	2002	
24.	Male	Hispanic/Latino	NV	Gunshot	Justified	December 12, 2002	2002	
17.	Male	African-American/Black	WA	Gunshot	Unknown	December 13, 2002	2002	
21.	Male	Unknown race	FL	Gunshot	Unreported	January 8, 2002	2002	
13.	Male	Unknown race	NY	Vehicle	Unknown	July 10, 2002	2002	
59.	Male	Unknown race	WA	Taser	Justified	November 7, 2002	2002	
18.	Male	African-American/Black	GA	Gunshot	Justified	July 14, 2002	2002	
59.	Male	Unknown race	MA	Gunshot	Justified	July 15, 2002	2002	
18.	Male	Unknown race	NY	Gunshot	Justified	July 16, 2002	2002	
16.	Male	African-American/Black	TX	Vehicle	Driver of the car charged with murder	July 18, 2002	2002	
36.	Female	Unknown race	MA	Gunshot	Justified	July 2, 2002	2002	
32.	Male	Unknown race	NY	Medical emergency	Family won $500,000 in wrongful death suit	July 23, 2002	2002	
34.	Male	European-American/White	CT	Gunshot	Justified	July 23, 2002	2002	
38.	Male	European-American/White	OR	Gunshot	Unreported	July 24, 2002	2002	
19.	Male	African-American/Black	NY	Gunshot	Unknown	July 26, 2002	2002	
22.	Male	European-American/White	FL	Gunshot	Justified	July 26, 2002	2002	
46.	Male	Unknown race	NY	Gunshot	Unreported	August 15, 2002	2002	
63.	Male	European-American/White	VT	Gunshot	Justified	October 15, 2002	2002	
25	Male	African-American/Black	OH	Gunshot	Justified	January 15, 2002	2002	
36.	Male	African-American/Black	IL	Asphyxiated	Unknown	October 18, 2002	2002	
23.	Male	African-American/Black	NY	Gunshot	Unknown	January 16, 2002	2002	
26.	Male	Unknown race	NY	Gunshot	Justified	October 29, 2003	2003	
34.	Male	Unknown race	CA	Gunshot	Justified	February 4, 2003	2003	
24.	Male	African-American/Black	CA	Gunshot	Unreported	August 24, 2003	2003	
30.	Male	Unknown race	GA	Gunshot	Justified	September 16, 2003	2003	
30.	Male	Hispanic/Latino	NY	Fell from a height	Unreported	June 16, 2003	2003	
17	Male	Unknown race	NM	Gunshot	Unknown	November 29, 2003	2003	
39.	Male	African-American/Black	GA	Gunshot	Unknown	December 10, 2003	2003	
22.	Male	European-American/White	CA	Gunshot	Justified	February 9, 2003	2003	
23.	Male	European-American/White	MO	Gunshot	Justified	March 15, 2003	2003	
21.	Male	Unknown race	NY	Gunshot	Unreported	January 1, 2003	2003	
19.	Male	Unknown race	NY	Gunshot	Justified	January 1, 2003	2003	
17.	Male	African-American/Black	NY	Gunshot	Justified	January 1, 2003	2003	
43.	Male	Unknown race	NY	Gunshot	Unreported	November 6, 2003	2003	
21.	Male	European-American/White	IN	Gunshot	Justified	November 8, 2003	2003	
41.	Male	Unknown race	NY	Medical emergency	Unreported	June 18, 2003	2003	
28.	Male	Unknown race	MD	Gunshot	Unreported	August 14, 2003	2003	
19.	Female	European-American/White	IL	Vehicle	Criminal	January 12, 2003	2003	
	Male	Unknown race	CA	Gunshot	Justified	December 15, 2003	2003	
32.	Male	African-American/Black	NV	Gunshot	Justified	December 16, 2003	2003	
32.	Male	African-American/Black	NV	Asphyxiation, due in part to PCP intoxication.	Justified	December 16, 2003	2003	
40.	Female	European-American/White	KY	Vehicle	Unknown	January 15, 2003	2003	
21.	Male	African-American/Black	WI	Gunshot	Justified	March 2, 2003	2003	
57.	Male	European-American/White	OH	Gunshot	Justified	December 19, 2003	2003	
39.	Male	European-American/White	ID	Gunshot	Suicide	April 9, 2003	2003	
32.	Female	European-American/White	ID	Gunshot	Suicide	April 9, 2003	2003	
34.	Male	Unknown race	HI	Gunshot	Justified	November 1, 2003	2003	
31.	Male	European-American/White, Middle Eastern	FL	Tasered, Asphyxiated	Accidental positional asphyxiation	November 10, 2003	2003	
27.	Female	European-American/White	FL	Vehicle	Unreported	February 22, 2003	2003	
37.	Male	Unknown race	VT	Gunshot	Justified	July 6, 2003	2003	
27.	Male	Unknown race	KY	Gunshot	Justified	November 13, 2003	2003	
23.	Male	European-American/White	CA	Gunshot	Justified	November 14, 2003	2003	
26	Male	European-American/White	OH	Gunshot	Justified	November 14, 2003	2003	
22.	Male	African-American/Black	NV	Gunshot	Justified	July 6, 2003	2003	
47.	Male	African-American/Black	CA	Gunshot	Justified	August 6, 2003	2003	
26.	Male	Unknown race	NY	Gunshot	Unknown	November 15, 2003	2003	
47.	Male	European-American/White	MA	Gunshot	Unreported	October 23, 2003	2003	
23.	Male	Hispanic/Latino	NV	Gunshot	Suicide	October 24, 2003	2003	
23.	Male	African-American/Black	IL	Gunshot	Unreported	September 13, 2003	2003	
32.	Male	European-American/White	NV	Gunshot	Justified	August 11, 2003	2003	
19.	Female	Native American/Alaskan	AK	Gunshot	Criminal	August 11, 2003	2003	
28.	Male	African-American/Black	NV	Gunshot	Excusable	February 28, 2003	2003	
38.	Male	European-American/White	WA	Gunshot	Unreported	October 25, 2003	2003	
65.	Male	Unknown race	NY	Gunshot	Unreported	August 8, 2003	2003	
34.	Male	European-American/White	WI	Gunshot	Justified	February 3, 2003	2003	
42.	Male	Unknown race	MD	Medical emergency	Unreported	April 14, 2003	2003	
56.	Female	Unknown race	CA	Gunshot	Unreported	March 20, 2003	2003	
35.	Male	Unknown race	OR	Gunshot	Unreported	January 17, 2003	2003	
19.	Male	Asian	OR	Gunshot	Justified	October 21, 2003	2003	
35.	Male	Unknown race	NY	Gunshot	Justified	January 2, 2003	2003	
20.	Male	African-American/Black	CA	Gunshot	Unknown	October 5, 2003	2003	
42.	Male	Unknown race	NY	Gunshot	Justified	April 16, 2003	2003	
22.	Male	Unknown race	MA	Gunshot	Unreported	January 22, 2003	2003	
25.	Male	Unknown race	OR	Gunshot	Justified	December 24, 2003	2003	
39.	Male	Asian	NV	Gunshot	Justified	April 18, 2003	2003	
13.	Female	African-American/Black	NC	Vehicle	Justified	December 29, 2003	2003	
15.	Female	African-American/Black	NC	Vehicle	Justified	December 29, 2003	2003	
13.	Male	African-American/Black	NC	Vehicle	Justified	December 29, 2003	2003	
18.	Male	African-American/Black	NC	Vehicle	Justified	December 29, 2003	2003	
14.	Male	African-American/Black	NC	Vehicle	Justified	December 29, 2003	2003	
15.	Male	African-American/Black	NC	Vehicle	Justified	December 29, 2003	2003	
15.	Female	African-American/Black	NC	Vehicle	Justified	December 29, 2003	2003	
32.	Male	European-American/White	WI	Gunshot	Justified	December 3, 2003	2003	
24.	Male	European-American/White	NY	Gunshot	Unreported	December 31, 2003	2003	
